Age,Weight,Height,Protein,Calories,BMI,Meal_Type,Day_Meal
56,59,178,98.56,2318.39,18.62,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
55,93,167,66.99,2387.1,33.35,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
21,91,157,76.58,2261.13,36.92,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
26,61,179,109.81,1961.68,19.04,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
33,81,175,42.0,2284.77,26.45,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
39,63,186,68.25,2150.47,18.21,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
19,81,188,109.48,2166.49,22.92,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
42,46,177,41.35,2175.64,14.68,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
35,95,152,90.05,2061.65,41.12,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
19,56,182,99.19,2245.77,16.91,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
22,57,158,97.16,2082.92,22.83,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
21,87,170,117.94,2068.41,30.1,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
22,95,155,115.23,1768.73,39.54,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
50,51,159,106.24,2406.39,20.17,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
31,63,160,44.93,2795.29,24.61,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
45,60,189,100.26,1862.88,16.8,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
29,97,165,62.29,2072.14,35.63,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
43,53,171,104.3,2142.41,18.13,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
24,57,185,96.78,2215.3,16.65,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
20,92,151,110.93,2398.67,40.35,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
24,78,154,94.66,2670.15,32.89,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
20,85,170,111.41,2202.62,29.41,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
54,83,163,87.03,2610.83,31.24,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
46,62,159,58.62,2708.31,24.52,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
40,61,157,73.24,2061.21,24.75,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
57,73,168,41.81,2717.23,25.86,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
50,69,174,62.52,1688.43,22.79,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
32,72,175,109.49,1934.6,23.51,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
31,88,162,103.26,1690.57,33.53,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
27,62,151,86.9,2703.11,27.19,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
46,80,171,55.21,2382.13,27.36,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
51,48,182,62.19,2261.19,14.49,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
43,51,164,99.16,2326.0,18.96,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
32,97,182,93.58,1988.46,29.28,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
41,51,186,82.81,2213.81,14.74,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
27,74,171,50.21,2119.25,25.31,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
42,58,163,67.02,1685.98,21.83,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
53,97,170,69.35,2513.0,33.56,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
33,77,169,43.94,2129.37,26.96,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
53,48,179,102.71,1998.94,14.98,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
48,82,168,88.66,2066.07,29.05,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
32,72,168,88.59,1790.07,25.51,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
54,87,182,107.4,1900.48,26.26,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
46,70,157,111.01,2365.58,28.4,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
30,69,187,99.29,1910.92,19.73,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
21,91,182,76.22,2552.01,27.47,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
42,47,150,86.4,1884.96,20.89,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
55,82,176,54.22,1661.49,26.47,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
41,66,177,99.74,2275.2,21.07,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
40,76,163,60.63,2278.48,28.6,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
22,95,182,53.71,2781.26,28.68,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
50,71,173,106.42,2362.12,23.72,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
46,45,180,113.97,1724.32,13.89,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
59,48,179,79.0,2039.56,14.98,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
28,71,184,113.51,2330.9,20.97,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
41,77,188,110.23,2767.94,21.79,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
52,86,166,91.33,2460.37,31.21,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
56,45,151,93.01,2519.15,19.74,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
38,80,184,53.79,1638.17,23.63,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
24,45,151,41.03,1731.98,19.74,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
38,62,177,104.16,2503.96,19.79,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
26,77,182,70.05,2203.68,23.25,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
33,58,159,62.27,1816.35,22.94,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
54,52,174,70.7,1742.99,17.18,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
21,50,185,75.78,2283.88,14.61,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
23,65,175,87.43,2189.52,21.22,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
22,66,156,77.27,1669.22,27.12,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
43,57,172,58.06,2231.41,19.27,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
40,93,185,51.77,2518.52,27.17,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
20,66,183,113.73,2101.35,19.71,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
27,65,158,85.52,1642.81,26.04,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
48,86,183,77.46,2629.62,25.68,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
25,78,163,42.32,2524.87,29.36,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
49,58,160,105.55,2452.8,22.66,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
31,92,174,95.91,2799.35,30.39,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
55,70,167,49.09,2445.74,25.1,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
43,85,161,94.44,1896.96,32.79,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
48,74,157,75.95,2191.83,30.02,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
36,95,162,55.68,2298.33,36.2,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
48,48,185,99.94,1966.19,14.02,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
33,91,154,85.01,2271.54,38.37,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
45,51,168,81.11,1612.68,18.07,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
35,45,188,84.14,2774.98,12.73,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
47,66,160,105.86,2541.99,25.78,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
53,98,172,47.13,1611.5,33.13,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
48,80,178,72.1,2554.68,25.25,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
20,69,174,49.58,2721.08,22.79,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
43,60,163,108.86,1717.13,22.58,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
43,88,169,115.11,2791.27,30.81,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
41,64,161,51.81,2018.63,24.69,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
52,99,181,113.39,2156.48,30.22,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
52,85,162,103.44,2786.31,32.39,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
51,77,155,116.37,1787.03,32.05,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
43,87,166,61.72,1639.83,31.57,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
40,77,162,88.85,2760.22,29.34,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
32,70,158,91.34,2402.74,28.04,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
37,54,154,114.92,1980.9,22.77,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
45,63,179,72.75,2075.11,19.66,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
51,50,173,89.82,1785.07,16.71,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
27,78,170,107.84,2704.36,26.99,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
18,67,170,117.94,2013.24,23.18,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
18,59,159,102.85,2680.45,23.34,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
46,69,176,65.47,2359.32,22.28,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
22,49,169,83.8,2018.24,17.16,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
19,73,165,83.4,1830.36,26.81,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
59,48,166,107.05,1625.97,17.42,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
42,51,177,93.52,2043.62,16.28,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
35,72,155,91.54,1802.35,29.97,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
51,61,174,55.26,2695.43,20.15,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
55,47,158,41.31,2118.22,18.83,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
57,82,175,42.5,1782.54,26.78,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
56,52,156,117.93,2353.91,21.37,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
59,98,187,91.54,2701.83,28.02,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
40,90,159,82.65,2173.73,35.6,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
18,47,157,40.85,2633.99,19.07,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
58,73,189,77.88,2548.73,20.44,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
32,77,165,107.36,2464.39,28.28,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
21,85,160,96.58,2706.94,33.2,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
28,93,155,58.51,1902.09,38.71,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
38,61,182,106.08,1949.56,18.42,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
30,54,176,104.18,2235.38,17.43,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
20,46,182,107.58,1834.93,13.89,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
50,59,156,62.77,1981.34,24.24,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
27,59,170,64.59,2430.39,20.42,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
32,50,185,78.63,2026.82,14.61,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
47,83,162,114.8,2278.24,31.63,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
41,80,153,112.96,2152.71,34.17,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
55,57,172,97.98,2134.38,19.27,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
45,90,165,108.98,1789.16,33.06,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
58,98,183,116.75,2739.2,29.26,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
44,54,181,79.43,2287.44,16.48,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
26,69,157,58.25,2703.55,27.99,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
57,84,150,69.51,1952.56,37.33,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
33,99,175,69.3,2333.17,32.33,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
27,88,187,45.56,2210.29,25.17,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
23,72,177,116.29,1819.76,22.98,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
19,86,157,54.51,1996.54,34.89,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
20,57,158,55.25,2263.25,22.83,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
25,89,180,44.65,2627.49,27.47,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
36,90,152,110.88,2037.69,38.95,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
29,55,172,54.89,1950.42,18.59,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
26,55,161,95.25,2233.64,21.22,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
53,85,158,119.18,2036.73,34.05,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
34,97,185,103.81,2451.79,28.34,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
39,91,155,114.42,2546.53,37.88,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
28,66,151,52.13,2255.98,28.95,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
57,72,169,93.26,2045.64,25.21,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
39,60,151,104.7,2189.37,26.31,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
36,77,164,74.19,2528.99,28.63,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
34,73,153,113.6,2689.27,31.18,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
23,97,183,54.92,2714.6,28.96,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
21,69,152,116.35,2485.8,29.86,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
20,57,184,53.36,2290.69,16.84,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
26,58,177,79.96,1902.71,18.51,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
54,57,174,48.86,1946.62,18.83,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
53,54,166,42.55,2388.15,19.6,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
58,63,151,63.29,1755.43,27.63,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
44,74,151,104.32,1734.93,32.45,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
25,89,180,94.48,2263.16,27.47,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
55,50,178,118.44,2245.74,15.78,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
24,54,159,74.82,2113.71,21.36,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
52,81,184,78.02,2461.95,23.92,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
36,82,177,48.68,2114.02,26.17,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
36,97,186,72.58,1631.27,28.04,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
55,86,168,72.39,2679.23,30.47,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
58,93,167,115.14,2571.1,33.35,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
29,79,174,42.99,2522.51,26.09,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
35,49,158,117.63,2568.62,19.63,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
18,66,152,79.19,2054.43,28.57,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
37,74,180,51.54,2346.75,22.84,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
59,98,158,92.06,2232.38,39.26,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
25,90,174,113.19,1984.8,29.73,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
48,50,160,118.86,2157.03,19.53,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
20,82,184,54.18,2418.68,24.22,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
28,92,176,108.19,2449.05,29.7,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
38,77,183,115.1,2150.51,22.99,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
